"longitude (degree: E+, W-)","latitude (degree: N+, S-)",Level 3p (pieces/km2),Level 3w1 (g/km2),Level 3w2 (g/km2)
,,-9999: No data,,
-52.5,-77,-9999,-9999,-9999
-47.5,-77,-9999,-9999,-9999
-42.5,-77,-9999,-9999,-9999
-37.5,-77,-9999,-9999,-9999
-32.5,-77,-9999,-9999,-9999
-27.5,-77,-9999,-9999,-9999
-22.5,-77,-9999,-9999,-9999
-17.5,-77,-9999,-9999,-9999
-12.5,-77,-9999,-9999,-9999
-7.5,-77,-9999,-9999,-9999
-2.5,-77,-9999,-9999,-9999
2.5,-77,-9999,-9999,-9999
7.5,-77,-9999,-9999,-9999
12.5,-77,-9999,-9999,-9999
17.5,-77,-9999,-9999,-9999
22.5,-77,-9999,-9999,-9999
27.5,-77,-9999,-9999,-9999
32.5,-77,-9999,-9999,-9999
37.5,-77,-9999,-9999,-9999
42.5,-77,-9999,-9999,-9999
47.5,-77,-9999,-9999,-9999
52.5,-77,-9999,-9999,-9999
57.5,-77,-9999,-9999,-9999
62.5,-77,-9999,-9999,-9999
67.5,-77,-9999,-9999,-9999
72.5,-77,-9999,-9999,-9999
77.5,-77,-9999,-9999,-9999
82.5,-77,-9999,-9999,-9999
87.5,-77,-9999,-9999,-9999
92.5,-77,-9999,-9999,-9999
97.5,-77,-9999,-9999,-9999
102.5,-77,-9999,-9999,-9999
107.5,-77,-9999,-9999,-9999
112.5,-77,-9999,-9999,-9999
117.5,-77,-9999,-9999,-9999
122.5,-77,-9999,-9999,-9999
127.5,-77,-9999,-9999,-9999
132.5,-77,-9999,-9999,-9999
137.5,-77,-9999,-9999,-9999
142.5,-77,-9999,-9999,-9999
147.5,-77,-9999,-9999,-9999
152.5,-77,-9999,-9999,-9999
157.5,-77,-9999,-9999,-9999
162.5,-77,-9999,-9999,-9999
167.5,-77,-9999,-9999,-9999
172.5,-77,-9999,-9999,-9999
177.5,-77,-9999,-9999,-9999
-177.5,-75,-9999,-9999,-9999
-172.5,-75,-9999,-9999,-9999
-167.5,-75,-9999,-9999,-9999
-162.5,-75,-9999,-9999,-9999
-157.5,-75,-9999,-9999,-9999
-152.5,-75,-9999,-9999,-9999
-147.5,-75,-9999,-9999,-9999
-142.5,-75,-9999,-9999,-9999
-137.5,-75,-9999,-9999,-9999
-132.5,-75,-9999,-9999,-9999
-127.5,-75,-9999,-9999,-9999
-122.5,-75,-9999,-9999,-9999
-117.5,-75,-9999,-9999,-9999
-112.5,-75,-9999,-9999,-9999
-107.5,-75,-9999,-9999,-9999
-102.5,-75,-9999,-9999,-9999
-97.5,-75,-9999,-9999,-9999
-92.5,-75,-9999,-9999,-9999
-87.5,-75,-9999,-9999,-9999
-82.5,-75,-9999,-9999,-9999
